user_id,movie_id,rating
U0001,8416,6.5
U0001,374461,6.8
U0001,244267,7.3
U0001,474979,5.5
U0001,1160956,8.2
U0001,22,7.1
U0001,239,7.6
U0001,491584,7.5
U0001,1316147,6.3
U0001,250538,7.1
U0001,343,7.9
U0001,1389149,4.9
U0001,134,7.3
U0001,198663,6.8
U0001,820,6.4
U0001,474395,7.4
U0001,793,9.0
U0001,1186532,8.3
U0001,1579,7.8
U0001,1057491,6.8
U0001,42661,6.0
U0001,773,9.1
U0001,297761,6.1
U0001,17915,8.2
U0001,244088,6.9
U0001,335787,8.3
U0001,42384,6.4
U0001,744,7.5
U0001,5902,7.4
U0001,15371,7.3
U0001,3078,8.8
U0001,2277,7.4
U0001,136,6.2
U0001,1195506,5.9
U0001,760104,6.6
U0001,43367,6.7
U0001,1890,6.9
U0001,138103,7.2
U0001,3134,3.2
U0001,1159311,7.3
U0001,16219,6.1
U0001,44603,6.7
U0001,85877,5.5
U0001,1326106,8.3
U0001,747,6.8
U0001,14442,7.5
U0001,82703,7.5
U0001,47423,7.3
U0002,152532,9.5
U0002,407440,5.9
U0002,11846,5.7
U0002,1941,5.4
U0002,111310,6.8
U0002,1032425,6.5
U0002,870028,6.7
U0002,41411,6.4
U0002,936061,6.0
U0002,532794,8.0
U0002,18329,5.9
U0002,15251,7.1
U0002,14306,8.6
U0002,298250,7.2
U0002,1817,6.4
U0002,209451,6.9
U0002,10890,6.9
U0002,1429738,5.5
U0002,6476,7.3
U0002,75,6.7
U0002,7451,6.9
U0002,13078,6.1
U0002,9383,4.3
U0002,51482,6.9
U0002,333352,6.2
U0002,1290432,5.5
U0002,821,9.7
U0002,19413,7.8
U0002,278927,6.8
U0002,41841,7.2
U0002,9654,5.6
U0003,42685,5.5
U0003,340382,4.1
U0003,747,6.5
U0003,218726,7.1
U0003,3082,9.5
U0003,1288072,6.7
U0003,565276,8.1
U0003,11917,5.4
U0003,171274,5.6
U0003,363992,5.2
U0003,1360,6.9
U0003,36568,7.0
U0003,758323,6.1
U0003,10912,7.0
U0003,32856,6.4
U0003,11007,5.9
U0003,599521,6.4
U0003,33997,8.7
U0003,10586,6.9
U0003,395992,8.0
U0003,144,7.8
U0003,68555,7.4
U0004,473033,6.4
U0004,35,8.0
U0004,1052558,6.1
U0004,205584,7.1
U0004,1017163,7.0
U0004,869250,8.7
U0004,76493,5.0
U0004,9404,4.7
U0004,1788,6.7
U0004,524434,5.7
U0004,667216,6.0
U0004,314365,7.5
U0004,42121,7.2
U0004,13515,5.4
U0004,21422,7.7
U0004,38396,8.2
U0004,335797,7.0
U0005,536554,7.6
U0005,803104,5.9
U0005,1250,6.4
U0005,14132,6.3
U0005,9355,5.2
U0005,361745,7.3
U0005,950,6.4
U0005,15157,7.1
U0005,51482,8.2
U0005,11296,6.9
U0005,8619,6.3
U0005,762879,6.0
U0005,435366,6.9
U0005,569547,7.7
U0005,37327,7.7
U0005,5689,5.5
U0005,1526650,7.1
U0005,45269,7.5
U0005,869626,8.8
U0005,15916,9.6
U0005,9598,6.9
U0005,33602,7.4
U0005,244267,6.6
U0005,9387,7.0
U0005,6615,7.1
U0005,10315,6.6
U0005,609,7.2
U0005,9102,7.9
U0005,72784,7.1
U0005,1628,6.6
U0005,11891,6.4
U0005,1255,7.3
U0005,535,6.9
U0005,111969,6.1
U0005,393,7.8
U0005,426410,7.3
U0005,1264805,7.1
U0006,37865,5.2
U0006,71,7.5
U0006,315465,7.5
U0006,410718,8.4
U0006,9610,5.7
U0006,2767,7.4
U0006,4959,5.7
U0006,9335,8.1
U0006,1567,7.9
U0006,149870,8.3
U0006,628,7.9
U0006,51822,7.7
U0006,76696,8.7
U0006,10833,6.1
U0006,526702,9.4
U0006,838,6.8
U0006,261,8.2
U0006,9471,5.6
U0006,10660,6.9
U0006,9816,5.2
U0006,4934,5.5
U0007,13825,5.9
U0007,297,8.5
U0007,2112,7.8
U0007,1273,5.3
U0007,340666,7.4
U0007,1526650,5.3
U0007,95,6.5
U0007,11683,6.5
U0007,1293286,6.8
U0007,435,6.6
U0007,13515,6.6
U0007,403119,5.2
U0007,538362,8.0
U0007,725201,6.4
U0007,20766,7.2
U0007,7840,6.6
U0007,369299,7.7
U0007,306,4.8
U0007,1786,7.7
U0007,70981,7.2
U0007,16638,6.1
U0007,249397,7.7
U0007,4771,6.8
U0007,1028196,6.0
U0007,9353,5.1
U0007,20875,7.7
U0007,36362,8.6
U0008,1715,7.4
U0008,81672,5.2
U0008,400136,5.7
U0008,205596,8.8
U0008,20982,6.6
U0008,5503,8.5
U0008,347123,6.8
U0008,10757,7.2
U0008,76568,7.2
U0008,11970,7.4
U0008,136797,7.5
U0008,19995,9.3
U0008,428493,8.1
U0008,1680,6.8
U0008,6522,7.9
U0008,872585,7.9
U0008,949,7.5
U0008,1979,6.6
U0008,1232546,7.0
U0008,543836,6.4
U0008,832,8.3
U0008,79645,6.3
U0008,890825,7.9
U0008,1535,7.3
U0008,594,6.3
U0008,9426,7.5
U0008,20558,6.2
U0008,10912,5.5
U0008,6105,5.9
U0008,1659087,5.1
U0008,375846,5.2
U0008,1417,6.8
U0008,496243,7.3
U0008,2163,6.3
U0008,40348,5.4
U0008,110420,9.4
U0008,34067,7.8
U0008,11842,7.2
U0008,15015,7.3
U0008,109417,6.7
U0008,395992,6.4
U0008,14881,7.5
U0008,81796,6.4
U0008,414419,8.2
U0008,674324,6.1
U0008,650,8.2
U0008,249070,6.5
U0008,657,6.6
U0008,1149947,7.9
U0008,10501,7.1
U0008,575264,7.1
U0008,18405,6.8
U0008,846,6.0
U0009,13161,7.3
U0009,300669,6.3
U0009,274,8.3
U0009,42607,6.0
U0009,9558,6.3
U0009,9367,7.4
U0009,8440,8.1
U0009,178682,7.5
U0009,436459,7.2
U0009,189,6.9
U0009,2832,7.3
U0009,9609,8.0
U0009,553,8.9
U0009,382614,7.9
U0009,7518,6.8
U0009,9593,4.9
U0009,975,8.5
U0009,1114967,7.3
U0009,179144,7.8
U0009,8741,6.7
U0009,41760,5.4
U0009,20556,8.1
U0009,1287141,6.1
U0009,804,8.0
U0009,1995,4.2
U0009,575,7.4
U0009,1777,7.7
U0009,10186,6.3
U0010,339751,7.6
U0010,22201,7.1
U0010,9846,7.8
U0010,1589891,7.3
U0010,970450,5.5
U0010,427719,7.0
U0010,10202,6.2
U0010,426543,7.3
U0010,761898,7.6
U0010,11496,5.7
U0010,1233506,5.8
U0010,10019,6.5
U0010,2832,6.7
U0010,51533,6.5
U0010,38684,6.3
U0010,1219620,7.9
U0010,3034,6.8
U0010,66150,7.7
U0010,12180,6.4
U0010,86825,6.1
U0010,98548,6.8
U0010,1376434,7.6
U0010,9476,5.4
U0010,37034,7.0
U0010,1158996,7.0
U0010,15873,6.0
U0010,9291,7.2
U0010,9281,7.3
U0010,114168,8.0
U0010,679,7.9
U0010,539517,7.8
U0010,284,8.8
U0010,207,9.6
U0010,829402,7.8
U0010,18857,7.0
U0010,44853,6.5
U0010,488,7.8
U0010,400155,6.4
U0010,6415,6.6
U0010,100,8.5
U0010,656663,6.9
U0010,87502,8.4
U0010,11202,7.2
U0010,363992,6.0
